scenario,county_slug,capex_pv,capex_storage,capex_electric,capex_gas,annual_bill_electric,annual_bill_gas,vehicle_om
baseline_ice_car,shasta,985.4479797621237,2165.000678414255,0.0,6026.715128251622,697.3526272501551,1202.4353531814172,5201.938144329897
full_electric_ev,shasta,1990.7181890022212,2165.000678414255,8264.432843548393,0.0,1466.9076018305968,0.0,2161.56
full_electric_ev_coopt,shasta,478.5652545396521,0.0,8264.432843548393,0.0,3004.502908623626,0.0,2161.56
baseline_ice_car,sierra,566.3494136563929,2165.000678414255,0.0,6026.715128251622,498.0246063130589,3181.904626401992,5595.835051546392
full_electric_ev,sierra,2245.5754251475983,2165.000678414255,8732.487328648784,0.0,1830.575824978028,0.0,2161.56
full_electric_ev_coopt,sierra,495.55573694934384,0.0,8732.487328648784,0.0,3643.979049040175,0.0,2161.56
baseline_ice_car,solano,979.7844856255598,2165.000678414255,0.0,6026.715128251622,679.8843747349249,1663.8247519500287,5292.98969072165
full_electric_ev,solano,2041.6896362312966,2165.000678414255,8921.224288509813,0.0,1554.0697051339544,0.0,2161.56
full_electric_ev_coopt,solano,577.6764019295208,0.0,8921.224288509813,0.0,3201.681960867908,0.0,2161.56
baseline_ice_car,sonoma,1061.9051506057367,2165.000678414255,0.0,6026.715128251622,700.8361826537691,1594.5906399892135,5402.845360824742
full_electric_ev,sonoma,2169.118254303985,2165.000678414255,9179.46124580658,0.0,1566.0755713553356,0.0,2161.56
full_electric_ev_coopt,sonoma,557.854172451547,0.0,9179.46124580658,0.0,3259.2416378129137,0.0,2161.56
baseline_ice_car,stanislaus,934.4765325330484,2165.000678414255,0.0,6026.715128251622,673.0791868469894,1192.2348450498034,5163.340206185567
full_electric_ev,stanislaus,1789.6641471542018,2165.000678414255,8569.292990278194,0.0,1377.033678316088,0.0,2161.56
full_electric_ev_coopt,stanislaus,506.8827252224717,0.0,8569.292990278194,0.0,2882.5188411846966,0.0,2161.56
baseline_ice_car,sutter,1104.3813566299664,2165.000678414255,0.0,6026.715128251622,747.3709575669196,1310.2843142880834,5168.288659793814
full_electric_ev,sutter,2050.1848774361424,2165.000678414255,8503.565536147185,0.0,1568.0025055457636,0.0,2161.56
full_electric_ev_coopt,sutter,572.0129077929569,0.0,8503.565536147185,0.0,3167.2887354169848,0.0,2161.56
baseline_ice_car,tehama,673.9558022511076,2165.000678414255,0.0,6026.715128251622,553.5341383402507,1650.7173973747697,5214.309278350515
full_electric_ev,tehama,1775.5054118127919,2165.000678414255,8279.090425945977,0.0,1369.884707162252,0.0,2161.56
full_electric_ev_coopt,tehama,370.9588659449374,0.0,8279.090425945977,0.0,2846.479660576215,0.0,2161.56
baseline_ice_car,trinity,914.6543030550746,2165.000678414255,0.0,6026.715128251622,639.283043624021,1808.5419794468312,5584.453608247422
full_electric_ev,trinity,2140.8007836211655,2165.000678414255,8473.48180897911,0.0,1633.693272446987,0.0,2161.56
full_electric_ev_coopt,trinity,438.92079558370455,0.0,8473.48180897911,0.0,3322.013371677788,0.0,2161.56
baseline_ice_car,tulare,923.1495442599205,2165.000678414255,0.0,6026.715128251622,676.3010461622641,782.5547739443241,5256.371134020619
full_electric_ev,tulare,1798.1593883590476,2165.000678414255,8928.69800861321,0.0,1317.2984359856482,0.0,2161.56
full_electric_ev_coopt,tulare,433.2573014471406,0.0,8928.69800861321,0.0,3028.8175814774745,0.0,2161.56
baseline_ice_car,ventura,937.3082796013304,2165.000678414255,0.0,6026.715128251622,663.6514549210092,438.86292677361024,5274.680412371134
full_electric_ev,ventura,1580.1148641013363,2165.000678414255,8894.599092019818,0.0,1086.488697494433,0.0,2161.56
full_electric_ev_coopt,ventura,523.8732076321635,0.0,8894.599092019818,0.0,2753.514873083365,0.0,2161.56
baseline_ice_car,yolo,999.6067151035336,2165.000678414255,0.0,6026.715128251622,696.5347529082143,1577.586515414893,5256.865979381444
full_electric_ev,yolo,2036.0261420947327,2165.000678414255,8798.419000781736,0.0,1556.936578860351,0.0,2161.56
full_electric_ev_coopt,yolo,574.8446548612387,0.0,8798.419000781736,0.0,3170.5857139138657,0.0,2161.56
